Dest ICAO,Dest Name,Level Restrictions,Full Route
LGAV,Athens,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 SRT UG8 GEM UW705 HAY UR32 IMR UG802 SOSIR N604 OGSIL OGSI1A
LHBP,Budapest,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT ABONY
LHBP,Budapest,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 EVRIK L850 BUDOP DCT ABONY
LIMC,Milan,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A1 NOZ L617 TANSA UL613 YNN UL611 TUMBO DCT RODON DCT KOFER DCT ROTAR DCT VIC DCT ADOSA L615 OSKOR
LIPE,Bologna,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q8 DOLAP DCT ROTAR M167 CHI M859 LUMAV
LIRF,Rome,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ L617 TANSA UL613 KOR UL53 KRK UL995 TIGRA DCT TEA DCT SIPRO Z803 LAT
LOWW,Vienna,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 NEPOT L746 EVRIK L850 BUDOP DCT BALUX DCT TORNO DCT NATEX
LOWW,Vienna,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 VUVAG UL333 DASIS UR660 ERZ UW704 CRM UL746 ODERO L746 EVRIK L850 BUDOP DCT BALUX DCT TORNO DCT NATEX
LPPR,Porto,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 VLC UN733 ZMR UL155 ADORO
LPPR,Porto,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A727 NOZ A1 METRU UL81 LORNO DCT EPIKU DCT GINOX UM601 BCN UN725 DGO UN976 ZMR UL155 ADORO
LPPT,Lisbon,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 NWB N697 MENLI L677 CVO A1 METRU UP868 ARLOS N4 DOBIX M978 SONAK UM978 MORJA UA411 ANB UM134 VLC UN733 CJN UN975 CCS DCT ELVAR DCT EXONA
LSGG,Geneva,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 NERDI M747 NEKUL P975 MOPUG DCT NALOX DCT GOTAR DCT ERKIR L608 KPT L856 AKABI UZ613 TRA Z69 OLBEN UN869 BENOT
LSGG,Geneva,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM Q8 DOLAP DCT ROTAR L615 BANKO
LSZH,Zurich,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM L852 KOMAN L602 NERDI M747 NEKUL P975 MOPUG DCT NALOX DCT GOTAR DCT ERKIR DCT KPT L856 NEGRA
LTFJ,Istanbul,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 ALPET L718 KABAN UT334 ULSAB UL614 UMRUN UG8 TOKER
LFTM,Istanbul,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 ALPET L718 KABAN UT334 ULSAB UL614 EZS UG8 GEM UT32 BUK UL615 ERSEN
LFTM,Istanbul,EVEN,RIDAP M557 TUMAK T557 RAGAS UT430 LAGSA UL223 KAPES J5 ALRAM UT888 SIV UL615 ERSEN
LUKK,Chișinău,EVEN,RIDAP M557 TUMAK L602 DAVUS UL602 GADSI UM860 ODALI UL852 NEGEM T746 ARGES DCT KODRU T34 LIPTA
LYBE,Belgrade,EVEN,DAVMO M318 GABKO M317 ROTAL UP574 SYZ UT430 DASIS UL333 SIV UL615 BUK UL602 MAKOL DCT UTEKA DCT OSVIX
OAKB,Kabul,ODD,DAVMO M318 KHM A453 PEKES Z627 OGOGO A453 TAPIS
OBBI,Bahrain,MAX FL 260 EVEN,NABIX P699 ALKAN Y856 MEDMA DCT OBSAS
OEDF,Dammam,EVEN,NABIX P699 ALKAN Y856 NARMI N697 KFA
OEJN,Jeddah,EVEN,KUTLI L519 ATUDO M318 GOLGU M550 MEVDO Y511 NALBA M628 DFN G782 VEMEM
OEJN,Jeddah,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 KIA G782 VEMEM
OEMA,Medina,EVEN,VSENPA N571 ALPOB L768 ULADA Q143 MEDGO UN697 BPN G674 MUSAR
OERK,Riyadh,EVEN,SENPA N571 ALPOB L768 ULADA T136 EMUSA Q212 ETBAS
OIIE,Tehran,ODD,DAVMO M318 ASMUK W32 ROVAD UL125 RADAL
OJAI,Amman,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 NIMAR G662 GRY N318 ELOXI
OKBK,Kuwait,EVEN,RIDAP M557 TUMAK M600 KUMBO A453 DEBTI
OLBA,Beirut,EVEN,SENPA N571 ALPOB L768 ULADA UL768 VATIM UL550 KITOT L550 STEPA N71 VELOX N159 ELIKA
